lessonIdx|line|kanji|hiragana|phon|eng
90|3|いいえ、これは切符ではありません。|いいえ、これはきっぷではありません。|Iie, kore wa kippu dewa arimasen.|No, this is not a ticket.
91|1|答えてください。|答えてください。|Answer please|Answer please
91|2|それは電車ですか。|それはでんしゃですか。|Sore wa densha desu ka.|Is that a train?
91|3|いいえ、これは電車ではありません。|いいえ、これはでんしゃではありません。|Iie, kore wa densha dewa arimasen.|No, this is not a train.
92|1|答えてください。|答えてください。|Answer please|Answer please
92|2||||
92|3||||
93|1|聞いてください|聞いてください|Listen please|Listen please
93|2|これは何ですか。|これはなんですか。|Kore wa nan desu ka.|What is this?
93|3|これは時計です。|これはとけいです。|Kore wa tokei desu.|This is a clock.
94|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
94|2|これは何ですか。|これはなんですか。|Kore wa nan desu ka.|What is this?
94|3||||
95|1|言って下さい。|言って下さい。|Say it, please|Say it, please
95|2|これは何ですか。|これはなんですか。|Kore wa nan desu ka.|What is this?
95|3|これは時計です。|これはとけいです。|Kore wa tokei desu.|This is a clock.
96|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
96|2|これは時計です。|これはとけいです。|Kore wa tokei desu.|This is a clock.
96|3||||
97|1|答えてください。|答えてください。|Answer please|Answer please
97|2|これは何ですか。|これはなんですか。|Kore wa nan desu ka.|What is this?
97|3|これは時計です。|これはとけいです。|Kore wa tokei desu.|This is a clock.
98|1|言って下さい。|言って下さい。|Say it, please|Say it, please
98|2|財布|さいふ|saifu|wallet
98|3||||
99|1|言って下さい。|言って下さい。|Say it, please|Say it, please
99|2|傘|かさ|kasa|umbrella
99|3||||
100|1|言って下さい。|言って下さい。|Say it, please|Say it, please
100|2|レコード|レコード|rekoodo|record
100|3||||
101|1|言って下さい。|言って下さい。|Say it, please|Say it, please
101|2||||
101|3||||
102|1|答えてください。|答えてください。|Answer please|Answer please
102|2|これは何ですか。|これはなんですか。|Kore wa nan desu ka.|What is this?
102|3|これは時計です。|これはとけいです。|Kore wa tokei desu.|This is a clock.
103|1|答えてください。|答えてください。|Answer please|Answer please
103|2|これは何ですか。|これはなんですか。|Kore wa nan desu ka.|What is this?
103|3|これは財布です。|これはさいふです。|Kore wa saifu desu.|This is a wallet.
104|1|答えてください。|答えてください。|Answer please|Answer please
104|2|それは何ですか。|それはなんですか。|Sore wa nan desu ka.|What is that?
104|3|それは傘です。|それはさいふです。|Sore wa saifu desu.|That is a wallet.
105|1|答えてください。|答えてください。|Answer please|Answer please
105|2|それは何ですか。|それはなんですか。|Sore wa nan desu ka.|What is that?
105|3|それはレコードです。|それはレコードです。|Kore wa rekoodo desu.|That is a record.
106|1|答えてください。|答えてください。|Answer please|Answer please
106|2||||
106|3||||
107|1|言って下さい。|言って下さい。|Say it, please|Say it, please
107|2|テレビ|テレビ|terebi|television
107|3||||
108|1|言って下さい。|言って下さい。|Say it, please|Say it, please
108|2|ズボン|ズボン|zubon|trousers
108|3||||
109|1|言って下さい。|言って下さい。|Say it, please|Say it, please
109|2|はこ|はこ|hako|box
109|3||||
110|1|言って下さい。|言って下さい。|Say it, please|Say it, please
110|2|バス|バス|basu|bus
110|3||||
111|1|言って下さい。|言って下さい。|Say it, please|Say it, please
111|2||||
111|3||||
112|1|答えてください。|答えてください。|Answer please|Answer please
112|2|あれは何ですか。|あれはなんですか。|Are wa nan desu ka.|What is that?
112|3|あれはテレビです。|あれはテレビです。|Are wa terebi desu.|That is a television.
113|1|答えてください。|答えてください。|Answer please|Answer please
113|2|あれは何ですか。|あれはなんですか。|Are wa nan desu ka.|What are those?
113|3|あれはズボンです。|あれはズボンです。|Are wa zubon desu.|Those are trousers.
114|1|答えてください。|答えてください。|Answer please|Answer please
114|2|これは何ですか。|これはなんですか。|Kore wa nan desu ka.|What is this?
114|3|それは箱です。|それははこです。|Sore wa hako desu.|That is a box
115|1|答えてください。|答えてください。|Answer please|Answer please
115|2|それは何ですか。|それはなんですか。|Sore wa nan desu ka.|What is that?
115|3|これはバスです。|これはバスです。|Kore wa basu desu.|This is a bus.
116|1|答えてください。|答えてください。|Answer please|Answer please
116|2||||
116|3||||
117|1|聞いてください|聞いてください|Listen please|Listen please
117|2|これはテレビですか。|これはテレビですか。|Kore wa terebi desu ka.|Is this a television?
117|3|いいえ、これはテレビではありません。|いいえ、これはテレビではありません。|Iie, kore wa terebi dewa arimasen.|No, this is not a television.
118|1|聞いてください|聞いてください|Listen please|Listen please
118|2|じゃあ、これは何ですか。|じゃあ、これはなんですか。|Jaa, kore wa nan desu ka.|Then, what is it?
118|3|これはラジオです。|これはラジオです。|Kore wa rajio desu.|This is a radio.
